date,open,high,low,close,volume,outstanding_share,turnover
2016-02-26,2760.06,2784.75,2715.87,2767.21,19111047200.0,11804054579.0,1.6190239609701147
2016-02-29,2754.81,2755.89,2638.96,2687.98,20741070900.0,11804054579.0,1.7571141137299886
2016-03-01,2688.38,2747.56,2668.76,2733.17,18720744300.0,11804054579.0,1.5859588054857976
2016-03-02,2733.77,2852.7,2732.54,2849.68,27096178300.0,11804054579.0,2.29549754439508
2016-03-03,2847.33,2878.44,2840.87,2859.76,28747821000.0,11804054579.0,2.4354191864839225
2016-03-04,2848.54,2880.37,2808.85,2874.15,31249516900.0,11804054579.0,2.6473544908538837
2016-03-07,2886.64,2911.84,2871.35,2897.34,21746683600.0,11804054579.0,1.8423062562493087
2016-03-08,2895.67,2902.62,2802.56,2901.39,23348266100.0,11804054579.0,1.9779869657276683
2016-03-09,2839.41,2863.02,2811.72,2862.56,18335538300.0,11804054579.0,1.5533254423119862
2016-03-10,2847.57,2863.18,2803.48,2804.73,13897946100.0,11804054579.0,1.1773874821559311
2016-03-11,2781.6,2815.61,2772.55,2810.31,12724755400.0,11804054579.0,1.0779986923000147
2016-03-14,2830.08,2889.82,2823.03,2859.5,19481603000.0,11804054579.0,1.650416208228886
2016-03-15,2853.98,2865.79,2819.8,2864.37,16338666700.0,11804054579.0,1.3841571631723306
2016-03-16,2858.71,2881.53,2854.19,2870.43,18649253500.0,11804054579.0,1.5799023441638391
2016-03-17,2875.41,2921.0,2857.19,2904.83,20029021300.0,11804054579.0,1.6967916545923656
2016-03-18,2915.52,2971.55,2908.74,2955.15,31333273500.0,11804054579.0,2.654450069702613
2016-03-21,2978.46,3028.32,2973.76,3018.8,35240043800.0,11804054579.0,2.985418574960996
2016-03-22,3001.63,3019.1,2988.43,2999.36,27037732200.0,11804054579.0,2.290546186401194
2016-03-23,2991.17,3012.56,2980.86,3009.96,21697746200.0,11804054579.0,1.8381604434972174
2016-03-24,2986.8,2998.15,2960.54,2960.97,23700640300.0,11804054579.0,2.0078389286817275
2016-03-25,2956.2,2981.41,2952.11,2979.43,17507434400.0,11804054579.0,1.4831712512704402
2016-03-28,2988.01,3008.17,2948.53,2957.82,20202124100.0,11804054579.0,1.71145634449544
